index,Mountain,Metres,Feet,Range,Location and notes
0,Mount Everest,8848.0,29029.0,Himalayas,Nepal/China
1,K2,8611.0,28251.0,Karakoram,Pakistan/China
2,Kangchenjunga,8586.0,28169.0,Himalayas,Nepal/India
3,Lhotse,8516.0,27940.0,Himalayas,Nepal – Climbers ascend Lhotse Face in climbing Everest
4,Makalu,8485.0,27838.0,Himalayas,Nepal
5,Cho Oyu,8188.0,26864.0,Himalayas,"Nepal – Considered ""easiest"" eight-thousander"
6,Dhaulagiri,8167.0,26795.0,Himalayas,Nepal – Presumed world's highest from 1808-1838
7,Manaslu,8163.0,26781.0,Himalayas,Nepal
8,Nanga Parbat,8126.0,26660.0,Himalayas,Pakistan
9,Annapurna,8091.0,26545.0,Himalayas,Nepal – First eight-thousander to be climbed (1950)
10,Gasherbrum I (Hidden peak; K5),8080.0,26510.0,Karakoram,Pakistan/China – Originally named K5
11,Broad Peak,8051.0,26414.0,Karakoram,Pakistan/China
12,Gasherbrum II (K4),8035.0,26362.0,Karakoram,Pakistan/China – Originally named K4
13,Shishapangma,8027.0,26335.0,Himalayas,China
0,Gasherbrum III,7952.0,26089.0,Karakoram,Pakistan
1,Gyachung Kang,7952.0,26089.0,Himalayas,Nepal (Khumbu)/China
2,Annapurna II,7937.0,26040.0,Himalayas,Nepal
3,Gasherbrum IV (K3),7932.0,26024.0,Karakoram,Pakistan
4,Himalchuli,7893.0,25896.0,Himalayas,"Manaslu, Nepal"
5,Distaghil Sar,7885.0,25869.0,Karakoram,Pakistan
6,Ngadi Chuli,7871.0,25823.0,Himalayas,"Manaslu, Nepal"
7,Nuptse,7861.0,25791.0,Himalayas,"Everest Massif, Nepal"
8,Khunyang Chhish,7852.0,25761.0,Karakoram,Pakistan
9,Masherbrum (K1),7821.0,25659.0,Karakoram,Pakistan – Originally named K1
10,Nanda Devi,7816.0,25643.0,Himalayas,India (Uttarakhand)
11,Chomo Lonzo,7804.0,25604.0,Himalayas,"Makalu Massiff, Nepal/China"
12,Batura Sar,7795.0,25574.0,Karakoram,Pakistan
13,Rakaposhi,7788.0,25551.0,Karakoram,Pakistan
14,Namcha Barwa,7782.0,25531.0,Himalayas,China
15,Batura II,7762.0,25466.0,Karakoram,Pakistan
16,Kanjut Sar,7760.0,25460.0,Karakoram,Pakistan
17,Kamet,7756.0,25446.0,Himalayas,India (Uttarakhand)
18,Dhaulagiri II,7751.0,25430.0,Himalayas,Nepal
19,Saltoro Kangri,7742.0,25400.0,Karakoram,India (Ladakh)
20,Batura III,7729.0,25358.0,Karakoram,Pakistan
21,Jannu,7710.0,25300.0,Himalayas,"Kangchenjunga, Nepal"
22,Tirich Mir,7708.0,25289.0,Hindu Kush,Pakistan – #1 in Hindu Kush
23,Molamenqing,7703.0,25272.0,Himalayas,"Shishapangma group, China"
24,Gurla Mandhata,7694.0,25243.0,Himalayas (Nalakankar),China
25,Saser Kangri,7672.0,25171.0,Karakoram,India (Ladakh)
26,Chogolisa,7665.0,25148.0,Karakoram,Pakistan
27,Kongur Tagh,7649.0,25095.0,Pamir or Kunlun Mountains,China
28,Shispare,7611.0,24970.0,Karakoram,Pakistan
29,Silberzacken,7597.0,24925.0,Himalaya,Pakistan
30,Trivor,7577.0,24859.0,Karakoram,Karakoram – Pakistan
31,Gangkhar Puensum,7570.0,24840.0,Himalayas,Bhutan/China
32,Gongga Shan,7556.0,24790.0,Daxue Shan,"Sichuan, China"
33,Annapurna III,7555.0,24787.0,Himalayas,Nepal
34,Muztagh Ata,7546.0,24757.0,Pamir or Kunlun Mountains,China (Xinjiang)
35,Skyang Kangri,7545.0,24754.0,Karakoram,Pakistan
36,Changtse,7543.0,24747.0,Himalayas,"Everest Massif, China"
37,Kula Kangri,7538.0,24731.0,Himalayas,China (possibly also Bhutan)
38,Liankang Kangri,7535.0,24721.0,Himalayas,Bhutan/China
